node,degree,strength,clustering,betweenness,closeness,eigenvector
S01. Every individual has a responsibility to contribute positively to society.,4,1.683827978838486,0.0,0.01694915254237288,0.8885882199933512,0.10660226297512808
S02. Universities should encourage students to participate in community service activities.,5,1.83258091736016,0.11526806445838425,0.028053769725306835,0.9079451899680184,0.12108706637107003
S03. New technologies should be evaluated for their societal impact before widespread deployment.,3,1.2752846223301002,0.20864495933932536,0.0023378141437755697,0.8295464260204142,0.08423706530426195
S04. Technology companies should be accountable for unethical use of their platforms.,5,2.0254172043497665,0.1448481999288727,0.030391583869082407,0.9942664259168086,0.17381310983672674
S05. Individuals should have greater control over how their personal data are collected and used.,3,1.188457459228317,0.23153051822327955,0.012273524254821741,0.8555166318523342,0.042158596635588255
"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",7,3.081093116972693,0.050559972911542496,0.025715955581531266,1.018201007406011,0.23618735041570843
S07. Equal opportunities should be prioritized regardless of a person's background.,7,2.8006328706258103,0.02260059586763657,0.0619520748100526,1.0238970413034556,0.15244540593709544
S08. Diverse teams generally make better decisions than homogeneous teams.,4,1.1408682014233895,0.0714000576435239,0.037405026300409115,0.9085603243357232,0.05467930255906602
S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,8,3.4544547701496873,0.025504525960676448,0.08825248392752776,1.0908603198728068,0.251355845252036
S10. Scientific evidence should play an important role in public policy decisions.,7,2.6785144204667746,0.0,0.07247223845704266,1.0203916783654676,0.11154420882862356
S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,4,1.6655366399271367,0.0,0.030391583869082407,0.9812385639349905,0.09946732111765791
S12. Young people should actively participate in addressing societal challenges.,3,1.2303306514671428,0.0,0.022209234365867914,0.9459352303558595,0.1094404170574563
S13. Critical evaluation of online information should be taught as a core educational skill.,6,2.5194961721328255,0.13650599697858143,0.028053769725306835,0.9310847940399014,0.18756600648009458
S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,8,3.632394291227625,0.08223317054932815,0.06428988895382817,1.0760336891615683,0.26265700667530584
S15. Building public trust is essential for responsible adoption of emerging technologies.,6,2.483975911384393,0.09759901831579312,0.04208065458796025,0.9840383961852148,0.16654340550465566
V01. Climate change requires immediate global action.,4,1.7399297516738548,0.0,0.015195791934541203,0.918718973101279,0.07702334123557214
V02. Governments should prioritize investment in renewable energy over fossil fuels.,5,2.240623188605864,0.0,0.025715955581531266,0.9298128217231336,0.10394384616833618
V03. Individuals should actively reduce their personal energy consumption.,6,2.4978761829551845,0.09392916339353062,0.06779661016949153,1.0408588199617497,0.18456188608609067
V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,3,1.2357505057856049,0.0,0.007013442431326709,0.8740393867609787,0.0677908591147264
V05. Single-use plastics should be significantly restricted.,4,1.6744624955943392,0.0,0.018118059614260665,0.9480059067751363,0.14432972246440495
"V06. Water conservation should be a priority in households, institutions, and industries.",6,2.2397138339457814,0.0,0.05260081823495032,0.9833324758751054,0.0875504901289251
V07. Protecting biodiversity is essential for long-term human well-being.,9,4.338928192608151,0.01935987962458245,0.0619520748100526,0.9642136888505105,0.25716187935686735
V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,3,1.6737445198811018,0.0,0.0,0.8141355888764746,0.16928076180973956
"V09. Products should be designed to encourage reuse, repair, and recycling.",6,2.7332647185384884,0.16142399608906915,0.04500292226767972,0.9981448709302357,0.19773420603493513
V10. Consumers should consider environmental impact when purchasing products.,8,3.9547925964476605,0.08024956598649571,0.04558737580362361,1.026665615386223,0.2973118645180351
V11. Technological innovation is essential for addressing environmental challenges.,5,1.7361693777287088,0.050579932698263316,0.046171829339567504,1.033244442075851,0.090245335492319
V12. Environmental sustainability should be integrated into higher education curricula.,4,1.8951689041331852,0.13077357903676176,0.017533606078316773,0.9024169130267198,0.17394838398985507
V13. Companies should be held accountable for the environmental impacts of their activities.,5,2.4672131019777135,0.1687004668946251,0.015195791934541203,0.8772550751450499,0.17366558143920902
V14. International cooperation is necessary to effectively address environmental challenges.,4,1.971149458921947,0.13882631547563162,0.009935710111046171,0.8653001728855245,0.16761364603191714
V15. Current generations have a responsibility to protect natural resources for future generations.,3,1.302638089451921,0.0,0.014026884862653417,0.860814879322026,0.07064077184951692
